id_equipo,nombre,logo,tipo,id_deporte,id_pais
87,Sao Paulo,https://media.api-sports.io/football/teams/126.png,Local,1,3
88,Flamengo,https://media.api-sports.io/football/teams/127.png,Local,1,3
89,Santos,https://media.api-sports.io/football/teams/128.png,Local,1,3
90,Ceara,https://media.api-sports.io/football/teams/129.png,Local,1,3
91,Gremio,https://media.api-sports.io/football/teams/130.png,Local,1,3
92,Corinthians,https://media.api-sports.io/football/teams/131.png,Local,1,3
93,Chapecoense-sc,https://media.api-sports.io/football/teams/132.png,Local,1,3
94,Vasco DA Gama,https://media.api-sports.io/football/teams/133.png,Local,1,3
95,Atletico Paranaense,https://media.api-sports.io/football/teams/134.png,Local,1,3
96,Cruzeiro,https://media.api-sports.io/football/teams/135.png,Local,1,3
97,Vitoria,https://media.api-sports.io/football/teams/136.png,Local,1,3
98,Figueirense,https://media.api-sports.io/football/teams/137.png,Local,1,3
99,Guarani Campinas,https://media.api-sports.io/football/teams/138.png,Local,1,3
100,Ponte Preta,https://media.api-sports.io/football/teams/139.png,Local,1,3
101,Criciuma,https://media.api-sports.io/football/teams/140.png,Local,1,3
102,Brasil DE Pelotas,https://media.api-sports.io/football/teams/141.png,Local,1,3
103,Vila Nova,https://media.api-sports.io/football/teams/142.png,Local,1,3
104,Oeste,https://media.api-sports.io/football/teams/143.png,Local,1,3
105,Atletico Goianiense,https://media.api-sports.io/football/teams/144.png,Local,1,3
106,Avai,https://media.api-sports.io/football/teams/145.png,Local,1,3
107,CRB,https://media.api-sports.io/football/teams/146.png,Local,1,3
108,Coritiba,https://media.api-sports.io/football/teams/147.png,Local,1,3
109,Londrina,https://media.api-sports.io/football/teams/148.png,Local,1,3
110,Paysandu,https://media.api-sports.io/football/teams/149.png,Local,1,3
111,CSA,https://media.api-sports.io/football/teams/150.png,Local,1,3
112,Goias,https://media.api-sports.io/football/teams/151.png,Local,1,3
113,Juventude,https://media.api-sports.io/football/teams/152.png,Local,1,3
114,BOA,https://media.api-sports.io/football/teams/153.png,Local,1,0
115,Fortaleza EC,https://media.api-sports.io/football/teams/154.png,Local,1,3
116,Sampaio Correa,https://media.api-sports.io/football/teams/155.png,Local,1,3
117,Sao Bento,https://media.api-sports.io/football/teams/156.png,Local,1,3
118,Luverdense,https://media.api-sports.io/football/teams/752.png,Local,1,3
119,Santa Cruz,https://media.api-sports.io/football/teams/13974.png,Local,1,3
120,ABC,https://media.api-sports.io/football/teams/754.png,Local,1,3
121,Nautico Recife,https://media.api-sports.io/football/teams/755.png,Local,1,3
122,Real,https://media.api-sports.io/football/teams/760.png,Local,1,0
123,RB Bragantino,https://media.api-sports.io/football/teams/794.png,Local,1,3
124,Joinville,https://media.api-sports.io/football/teams/795.png,Local,1,3
125,Tupi,https://media.api-sports.io/football/teams/796.png,Local,1,3
126,Atletico-MG,https://media.api-sports.io/football/teams/1062.png,Local,1,3
127,Cuiaba,https://media.api-sports.io/football/teams/1193.png,Local,1,3
128,Cianorte,https://media.api-sports.io/football/teams/1194.png,Local,1,3
129,Ferroviario,https://media.api-sports.io/football/teams/1195.png,Local,1,3
130,Uberlandia,https://media.api-sports.io/football/teams/1196.png,Local,1,3
131,Botafogo PB,https://media.api-sports.io/football/teams/1197.png,Local,1,3
132,remo,https://media.api-sports.io/football/teams/1198.png,Local,1,3
133,Novo Hamburgo,https://media.api-sports.io/football/teams/1199.png,Local,1,3
134,Fluminense De Feira,https://media.api-sports.io/football/teams/1200.png,Local,1,3
135,Inter De Limeira,https://media.api-sports.io/football/teams/1201.png,Local,1,3
136,Aparecidense,https://media.api-sports.io/football/teams/1202.png,Local,1,3
137,Altos,https://media.api-sports.io/football/teams/1203.png,Local,1,3
138,Tubarao,https://media.api-sports.io/football/teams/1204.png,Local,1,3
139,Salgueiro,https://media.api-sports.io/football/teams/1205.png,Local,1,3
140,Corumbaense,https://media.api-sports.io/football/teams/1206.png,Local,1,3
141,ASA,https://media.api-sports.io/football/teams/1207.png,Local,1,3
142,Gurupi,https://media.api-sports.io/football/teams/1208.png,Local,1,3
143,Murici Fc,https://media.api-sports.io/football/teams/1210.png,Local,1,3
144,Brusque,https://media.api-sports.io/football/teams/1211.png,Local,1,3
145,PSTC Procopense,https://media.api-sports.io/football/teams/1212.png,Local,1,3
146,Sinop Fc,https://media.api-sports.io/football/teams/1213.png,Local,1,3
147,Portuguesa,https://media.api-sports.io/football/teams/1214.png,Local,1,3
148,Guarani De Juazeiro,https://media.api-sports.io/football/teams/1216.png,Local,1,3
149,Gremio Osasco Audax,https://media.api-sports.io/football/teams/1217.png,Local,1,3
150,Sao Raimundo,https://media.api-sports.io/football/teams/1218.png,Local,1,3
151,Sao Francisco,https://media.api-sports.io/football/teams/10855.png,Local,1,3
152,Sete De Dourados,https://media.api-sports.io/football/teams/1220.png,Local,1,3
153,Ypiranga-RS,https://media.api-sports.io/football/teams/1221.png,Local,1,3
154,Gama,https://media.api-sports.io/football/teams/1222.png,Local,1,3
155,Operario-PR,https://media.api-sports.io/football/teams/1223.png,Local,1,3
156,Juazeirense,https://media.api-sports.io/football/teams/1224.png,Local,1,3
157,Vitoria Da Conquista,https://media.api-sports.io/football/teams/1225.png,Local,1,3
158,Dom Bosco,https://media.api-sports.io/football/teams/1226.png,Local,1,3
159,River-Pi,https://media.api-sports.io/football/teams/1227.png,Local,1,3
160,Galvez,https://media.api-sports.io/football/teams/1228.png,Local,1,3
161,Genus,https://media.api-sports.io/football/teams/1229.png,Local,1,3
162,Brazil W,https://media.api-sports.io/football/teams/1726.png,Local,1,3
163,Rio Preto W,https://media.api-sports.io/football/teams/1793.png,Local,1,3
164,Flamengo W,https://media.api-sports.io/football/teams/1794.png,Local,1,3
165,Ferroviaria W,https://media.api-sports.io/football/teams/1795.png,Local,1,3
166,Sao Jose W,https://media.api-sports.io/football/teams/1796.png,Local,1,3
167,Foz Cataratas W,https://media.api-sports.io/football/teams/1797.png,Local,1,3
168,Corinthians W,https://media.api-sports.io/football/teams/1798.png,Local,1,3
169,Iranduba W,https://media.api-sports.io/football/teams/1799.png,Local,1,3
170,Sao Francisco W,https://media.api-sports.io/football/teams/1800.png,Local,1,3
171,Portuguesa W,https://media.api-sports.io/football/teams/1801.png,Local,1,3
172,America Mineiro W,https://media.api-sports.io/football/teams/1802.png,Local,1,3
173,Vasco Da Gama W,https://media.api-sports.io/football/teams/1803.png,Local,1,3
174,Ec Vitoria W,https://media.api-sports.io/football/teams/1804.png,Local,1,3
175,Duque De Caxias W,https://media.api-sports.io/football/teams/1805.png,Local,1,3
176,Vitoria Das Tab. W,https://media.api-sports.io/football/teams/1806.png,Local,1,3
177,Tiradentes W,https://media.api-sports.io/football/teams/1807.png,Local,1,3
178,Caucaia W,https://media.api-sports.io/football/teams/1808.png,Local,1,3
179,Pinheirense W,https://media.api-sports.io/football/teams/1809.png,Local,1,3
180,Viana W,https://media.api-sports.io/football/teams/1810.png,Local,1,3
